Model_Original,Brand,Year_Extracted,Screen_Size_Extracted,Weight_kg,Energy_kWh_Year,Repair_Score,Eco_Score_Target
Latitude 5285 2-in-1,Dell,2021.0,14.0,0.94,9.833333333333334,6.0,59.41
Latitude 5289 2-in-1,Dell,2021.0,14.0,1.45,9.833333333333334,6.0,59.33
Latitude 5290 2-In-1,Dell,2021.0,14.0,0.857,9.833333333333334,6.0,58.61
Latitude 5290,Dell,2021.0,14.0,1.45,9.833333333333334,6.0,62.61
Latitude 5300 2-in-1 Chromebook,Dell,2021.0,14.0,1.36,9.833333333333334,6.0,56.13
Latitude 5300 2-in-1,Dell,2021.0,14.0,1.61,9.833333333333334,6.0,54.769999999999996
Latitude 5300,Dell,2021.0,14.0,1.494,9.833333333333334,6.0,56.370000000000005
Latitude 5310 2-IN-1,Dell,2021.0,14.0,1.351,9.833333333333334,6.0,56.13
Latitude 5310,Dell,2021.0,14.0,1.242,9.833333333333334,6.0,56.05
Latitude 5320 2-IN-1,Dell,2021.0,14.0,1.35,9.833333333333334,6.0,55.41
Latitude 5320,Dell,2021.0,14.0,1.24,9.833333333333334,6.0,52.21000000000001
Latitude 5330 2-in-1,Dell,2021.0,14.0,1.319,9.833333333333334,6.0,52.61
Latitude 5330,Dell,2021.0,14.0,1.203,9.833333333333334,6.0,52.769999999999996
Latitude 5400 Chromebook,Dell,2021.0,14.0,3.42,9.833333333333334,6.0,54.05
Latitude 5400,Dell,2021.0,14.0,1.55,9.833333333333334,6.0,54.85
Latitude 5401,Dell,2021.0,14.0,1.53,9.833333333333334,6.0,52.53
Latitude 5410,Dell,2021.0,14.0,1.52,9.833333333333334,6.0,53.97
Latitude 5411,Dell,2021.0,14.0,1.54,9.833333333333334,6.0,53.410000000000004
Latitude 5420,Dell,2021.0,14.0,1.4,9.833333333333334,6.0,50.93000000000001
Latitude 5421,Dell,2021.0,14.0,1.49,9.833333333333334,6.0,55.730000000000004
Latitude 5430 Rugged,Dell,2021.0,14.0,2.6,9.833333333333334,6.0,50.45
Latitude 5430 Rugged,Dell,2021.0,14.0,2.6,9.833333333333334,6.0,50.45
Latitude 5430 Rugged,Dell,2021.0,14.0,2.6,9.833333333333334,6.0,50.45
Latitude 5430 Rugged,Dell,2021.0,14.0,2.6,9.833333333333334,6.0,50.45
Latitude 5430 Rugged,Dell,2021.0,14.0,2.6,9.833333333333334,6.0,50.45
Latitude 5430 Rugged,Dell,2021.0,14.0,2.6,9.833333333333334,6.0,50.45
Latitude 5430 Rugged,Dell,2021.0,14.0,2.6,9.833333333333334,6.0,50.45
Latitude 5430 Rugged,Dell,2021.0,14.0,2.6,9.833333333333334,6.0,50.45
Latitude 5430 Rugged,Dell,2021.0,14.0,2.6,9.833333333333334,6.0,50.45
Latitude 5430 Rugged,Dell,2021.0,14.0,2.6,9.833333333333334,6.0,50.45
Latitude 5430 Rugged,Dell,2021.0,14.0,2.6,9.833333333333334,6.0,50.45
Latitude 5430 Rugged,Dell,2021.0,14.0,2.6,9.833333333333334,6.0,50.45
Latitude 5430 Rugged,Dell,2021.0,14.0,2.6,9.833333333333334,6.0,50.45
Latitude 5430 Rugged,Dell,2021.0,14.0,2.6,9.833333333333334,6.0,50.45
Latitude 5430 Rugged,Dell,2021.0,14.0,2.6,9.833333333333334,6.0,50.45
Latitude 5430 Rugged,Dell,2021.0,14.0,2.6,9.833333333333334,6.0,50.45
Latitude 5430 Rugged,Dell,2021.0,14.0,2.6,9.833333333333334,6.0,50.45
Latitude 5430 Rugged,Dell,2021.0,14.0,2.6,9.833333333333334,6.0,50.45
Latitude 5430 Rugged,Dell,2021.0,14.0,2.6,9.833333333333334,6.0,50.45
