Device_Name,Energy_Consumption_kWh,Recycled_Percentage,RoHS_Compliant,Screen_Size_Inch,Weight_Kg,RAM_GB,Storage_GB,CPU_Score,Eco_Score
AccurioPress C4080,26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,3.0
AccurioPress C4080,26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
AccurioPress C7090,26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,3.0
AccurioPress C7090,26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
AccurioPress C7100,26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,3.0
AccurioPress C7100,26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
AccurioPrint 2100,26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,3.0
AccurioPrint 2100,26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
AccurioPrint C4065,26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,3.0
AccurioPrint C4065,26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Acer Aspire 14 AI A14-A71M,26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,3.0
Acer Aspire 14 AI A14-A71M,26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,3.0
Acer Aspire 14 AI A14-A71M,26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,3.0
Acer Aspire 14 AI A14-A71M,26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,3.0
Acer Aspire 14 AI A14-A71M,26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,3.0
Acer Aspire 14 AI A14-A71M,26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,3.0
Acer Aspire 14 AI A14-A71M,26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,3.0
Acer Aspire 14 AI A14-A71M,26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,3.0
Acer Aspire 14 AI A14-A71M,26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,3.0
Acer Aspire 14 AI A14-A71M,26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,3.0
Acer Aspire 14 AI A14-A71MT,26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,3.0
Acer Aspire 14 AI A14-A71MT,26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,3.0
Acer Aspire 14 AI A14-A71MT,26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,3.0
Acer Aspire 14 AI A14-A71MT,26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,3.0
Acer Aspire 14 AI A14-A71MT,26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,3.0
Acer Aspire 14 AI A14-A71MT,26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,3.0
Acer Aspire 14 AI A14-A71MT,26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,3.0
Acer Aspire 14 AI A14-A71MT,26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,3.0
Acer Aspire 14 AI A14-A71MT,26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,3.0
Acer Aspire 14 AI A14-A71MT,26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,3.0
Acer Aspire 16 AI A16-52M,26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,3.0
Acer Aspire 16 AI A16-52M,26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,3.0
Acer Aspire 16 AI A16-52M,26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,3.0
Acer Aspire 17 A17-51M,26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Acer Aspire 17 A17-51M,26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Acer Aspire 17 A17-51M,26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,2.0
Acer Aspire Go 14 AG14-72P,26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,3.0
Acer Aspire Go 14 AG14-72P,26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,3.0
Acer Aspire Go 15 AG15-44P,26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,3.0
Acer Aspire Go 15 AG15-44P,26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,3.0
Acer Aspire Go 15 AG15-44P,26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,3.0
Acer Aspire Go 15 AG15-44P,26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,3.0
Acer Aspire Go 15 AG15-44P,26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,3.0
Acer Aspire Go 15 AG15-44P,26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,3.0
Acer Aspire Go 15 AG15-44P,26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,3.0
Acer Aspire Go 15 AG15-44P,26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,3.0
Acer Aspire Go 15 AG15-44P,26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,3.0
Acer Aspire Go 15 AG15-44P,26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,3.0
Acer Aspire Go 15 AG15-72P,26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,3.0
Acer Aspire Go 15 AG15-72P,26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,3.0
Acer Aspire Go 15 AG15-72P,26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,3.0
Acer Aspire Go 15 AG15-72P,26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,3.0
Acer Aspire Go 16 AG16-71P,26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,3.0
Acer Aspire Go 16 AG16-71P,26.49025,0.0,1.0,14.0,1.5,8.0,256.0,2,3.0
